Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000131477 0 0 0 1 0 0
ENSG00000105700 0 0 0 1 0 0
ENSG00000213719 0 0 0 1 1 0
ENSG00000171490 0 0 0 1 0 0
ENSG00000150281 0 0 0 1 0 0
ENSG00000189298 0 0 0 1 0 1
ENSG00000259623 0 0 0 1 0 0
ENSG00000111325 0 0 0 1 0 1
ENSG00000158691 0 0 0 1 0 0
ENSG00000204304 0 0 0 1 0 1
ENSG00000223865 0 0 0 1 0 0
ENSG00000140848 0 0 0 1 0 0
ENSG00000204482 0 0 0 1 0 0
ENSG00000262766 0 0 0 1 0 0
ENSG00000228782 0 0 0 1 1 1
ENSG00000111328 0 0 0 1 1 0
ENSG00000016402 0 0 0 1 0 0
ENSG00000169220 0 0 0 1 0 0
ENSG00000226443 0 0 0 1 0 0
ENSG00000074219 0 0 0 1 0 1
ENSG00000196230 0 0 0 0 1 0
ENSG00000137337 0 0 0 0 1 0
ENSG00000204569 0 0 0 0 1 1
ENSG00000204516 0 0 0 0 1 1
ENSG00000236104 0 0 0 0 1 1
ENSG00000215912 0 0 0 0 1 0
ENSG00000233892 0 0 0 0 1 1
ENSG00000124140 0 0 0 0 1 1
ENSG00000137310 0 0 0 0 1 0
ENSG00000189050 0 0 0 0 1 1
ENSG00000204305 0 0 0 0 1 0
ENSG00000204642 0 0 0 0 1 1
ENSG00000135502 0 0 0 0 1 0
ENSG00000100288 0 0 0 0 1 0
ENSG00000213347 0 0 0 0 1 0
ENSG00000237441 0 0 0 0 1 0
ENSG00000102882 0 0 0 0 1 0
ENSG00000101017 0 0 0 0 1 0
ENSG00000134574 0 0 0 0 1 0
ENSG00000239827 0 0 0 0 1 0
ENSG00000188130 0 0 0 0 1 0
ENSG00000203710 0 0 0 0 1 0
ENSG00000213780 0 0 0 0 1 1
ENSG00000204227 0 0 0 0 0 1
ENSG00000146112 0 0 0 0 0 1
ENSG00000234127 0 0 0 0 0 1
ENSG00000204410 0 0 0 0 0 1
ENSG00000154511 0 0 0 0 0 1
ENSG00000254858 0 0 0 0 0 1
ENSG00000104435 0 0 0 0 0 1
ENSG00000073169 0 0 0 0 0 1
ENSG00000204439 0 0 0 0 0 1
ENSG00000175550 0 0 0 0 0 1
ENSG00000137404 0 0 0 0 0 1
ENSG00000173039 0 0 0 0 0 1
ENSG00000262420 0 0 0 0 0 1
ENSG00000119912 0 0 0 0 0 1
ENSG00000106266 0 0 0 0 0 1
ENSG00000141279 0 0 0 0 0 1
ENSG00000198933 0 0 0 0 0 1
ENSG00000172650 0 0 0 0 0 1
ENSG00000204472 0 0 0 0 0 1
ENSG00000231500 0 0 0 0 0 1
