Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000147905 0 1 0 0 0 0
ENSG00000128487 0 1 0 0 0 1
ENSG00000197279 0 1 0 1 0 0
ENSG00000254427 0 1 0 0 0 1
ENSG00000157837 0 1 1 0 0 1
ENSG00000146007 0 1 1 0 1 1
ENSG00000198502 0 1 0 0 0 0
ENSG00000204388 0 1 1 0 1 1
ENSG00000143387 0 1 0 0 0 0
ENSG00000185829 0 1 1 1 0 0
ENSG00000249839 0 1 1 1 1 1
ENSG00000130779 0 1 0 0 0 0
ENSG00000204685 0 1 0 0 0 0
ENSG00000170396 0 1 0 0 0 0
ENSG00000144674 0 1 0 0 0 0
ENSG00000226124 0 1 1 1 1 1
ENSG00000214435 0 1 1 1 1 1
ENSG00000100583 0 1 0 0 0 0
ENSG00000088808 0 1 0 0 0 1
ENSG00000151148 0 1 0 0 0 0
ENSG00000138074 0 1 0 0 0 0
ENSG00000083520 0 1 0 0 0 0
ENSG00000179918 0 1 0 0 0 0
ENSG00000100395 0 1 0 1 0 0
ENSG00000171206 0 1 0 0 0 0
ENSG00000112667 0 1 0 0 1 0
ENSG00000109572 0 1 0 0 1 0
ENSG00000102870 0 1 0 0 0 0
ENSG00000146006 0 1 0 0 0 0
ENSG00000112893 0 1 0 1 0 0
ENSG00000041988 0 1 0 1 0 0
ENSG00000178222 0 1 0 0 0 0
ENSG00000242866 0 1 0 0 1 1
ENSG00000113141 0 1 0 1 0 1
ENSG00000146373 0 1 0 0 0 0
ENSG00000172922 0 1 1 0 1 1
ENSG00000235568 0 1 0 0 0 0
ENSG00000174938 0 1 0 1 0 0
ENSG00000076685 0 1 0 0 0 0
ENSG00000204642 0 1 0 0 1 1
ENSG00000225193 0 1 0 0 0 0
ENSG00000184047 0 1 0 0 0 0
ENSG00000093000 0 1 1 0 0 0
ENSG00000196776 0 1 0 0 0 0
ENSG00000085788 0 1 0 1 1 0
ENSG00000075413 0 1 0 0 0 0
ENSG00000185324 0 1 0 0 0 0
ENSG00000166913 0 1 0 0 1 1
ENSG00000100403 0 1 1 0 1 0
ENSG00000172817 0 1 0 0 0 0
ENSG00000100241 0 1 0 0 0 0
ENSG00000124507 0 1 0 1 0 0
ENSG00000159640 0 1 0 0 0 0
ENSG00000121058 0 1 0 0 0 0
ENSG00000101460 0 1 0 0 0 0
ENSG00000170802 0 1 0 0 0 1
ENSG00000132563 0 1 0 1 0 0
ENSG00000263426 0 1 0 0 0 0
ENSG00000180929 0 1 0 0 0 0
ENSG00000065609 0 1 0 0 0 0
ENSG00000197958 0 1 0 1 0 0
ENSG00000112655 0 1 0 0 0 0
ENSG00000104447 0 1 0 0 0 0
ENSG00000172292 0 1 0 0 0 0
ENSG00000174437 0 1 0 0 0 0
ENSG00000170209 0 1 0 0 0 0
ENSG00000035499 0 1 1 0 0 0
ENSG00000101104 0 1 0 0 0 0
ENSG00000173930 0 1 0 0 1 0
ENSG00000120088 0 1 1 0 0 1
ENSG00000100058 0 1 0 0 0 1
ENSG00000154518 0 1 0 0 0 0
ENSG00000170632 0 1 0 0 0 0
ENSG00000096654 0 0 1 0 0 0
ENSG00000030110 0 0 1 0 0 0
ENSG00000204389 0 0 1 0 0 1
ENSG00000110536 0 0 1 0 0 0
ENSG00000112812 0 0 1 1 0 0
ENSG00000146112 0 0 1 1 0 0
ENSG00000204390 0 0 1 0 1 0
